video,chunk_id,text,start_time,end_time
lecture1,0," In this Python tutorial, you're going to learn everything you need to know to start programming  in Python.  If you want to learn Python programming for data science, machine learning, or web development,  this Python tutorial is the perfect place to learn Python.  You don't need any prior knowledge in Python or programming in general, I'm going to teach",0.0,18.44
lecture1,1," you everything from scratch.  I'm Moch Hamadani, and I've taught millions of people how to code through this channel.  If you're new here, make sure to subscribe as I upload new videos every week.  Now, let's jump in and get started.  Before we get started, let me give you some ideas about what you can do with Python.",18.44,33.96
lecture1,2," That's a very common question.  Python is a multi-purpose programming language, so you can use it for a variety of different  tasks.  You can use Python for machine learning and AI.  In fact, Python is the number one language for machine learning and data science projects.",33.96,47.0
lecture1,3," Python is also very popular in web development.  Using Python and a framework called Django, you can build amazing websites.  Here are five websites powered with Python and Django.  YouTube, Instagram, Spotify, Dropbox, and Pinterest.  You can also use Python in automation.",47.0,63.12
lecture1,4," With Python, you can save your time and increase your productivity by automating repetitive  tasks.  So, why are you learning Python?  Are you learning it for automation, for data science, or web development?  Let me know in the comments section below.",63.12,77.24
lecture1,5," All right, the first thing I want you to do is to head over to python.org to download  the latest version of Python.  So you go to downloads and select the latest version of Python.  Here in your downloads folder, you should see this package.  Simply double-click it.",77.24,98.12
lecture1,6," You're going to see this Python installer.  If you're on Windows, you will see this checkbox over here.  Add Python to path.  Make sure to check it.  It's really important.",98.12,107.52
lecture1,7," Otherwise, you're not going to be able to follow this tutorial.  Simply click on continue.  Again, one more time.  Agree with the terms and install the latest version of Python.  Now here you need to enter the username password of your computer.",107.52,124.08
lecture1,8, So let's do that real quick.  Next you need to install a code editor.  We use a code editor to write our code and execute it.  The most popular code editor for Python is PyCharm.  You can get it from jetbrands.com slash PyCharm.,124.08,141.52
lecture1,9," You can get it from the website.  Click on download.  You should see two different editions.  One is the professional edition, which is commercial.  And we also have this community edition, which is free and open source.",141.52,154.24
lecture1,10," So we're going to download the community edition.  Now in your downloads folder, you should have this package.  Let's double-click it.  If you're on Windows, you're going to see an installation wizard.  So simply click on the next button until you install PyCharm.",154.24,172.32
lecture1,11," If you're on a Mac, you need to drag this PyCharm and drop it onto the application's folder.  Now let's open it.  The first time you open PyCharm, you have to configure a few settings.  We don't want to spend time on this.  So over here, you're going to click on skip remaining and set defaults.",172.32,194.48
lecture1,12," Now let's create a new project.  Over here, we can specify the location and the name of our Python project.  So let's append hello world to this path.  This is where our Python project is going to be saved.  So let's click on create.",194.48,212.68
lecture1,13," In this window, you can see the content of our project.  So here's our hello world project.  Currently we have only one folder inside this project, that is vn, which is short for  virtual environment.  We'll talk about virtual environments in the future.",212.68,225.64
lecture1,14, So currently we don't have any Python files inside this project.  A real application can consist of tens or hundreds or even thousands of Python files.  So let's right click on the project name and go to new Python file.  We're going to call this file app.  Now we can collapse this project window by clicking on this icon.,225.64,247.8
lecture1,15," So now we have more space.  Let's write our first Python code.  We're going to write print all in lowercase, then add parenthesis, then add quotes, either  single quotes or double quotes.  And inside this code, we're going to write hello world.",247.8,263.84000000000003
lecture1,16," So this is what we call a string.  A string means a string or sequence of characters.  In simple words, that means textual data.  So in Python and in many other programming languages, whenever we're dealing with textual  data, we should always surround our text with quotes.",263.84000000000003,280.92
lecture1,17," In Python, we can use single or double quotes.  Now this print you see here is a function built into Python and we can use it to print  a message on our application window.  So let me show you how to run this code.  On the top, we go to the run menu and then select run.",280.92,298.64
lecture1,18," Note that there is a shortcut associated with this command.  I always use shortcuts because they increase my productivity.  So let's click on this.  Now select app and over here, you can see this little window.  This is what we call the terminal window and it shows the output of our program.",298.64,317.04
lecture1,19," So here's the hello world message printed in the terminal window.  Now, as you learn more Python, you will learn how to build applications that have a graphical  user interface.  That's an advanced topic.  So for now, let's not worry about it.",317.04,329.0
lecture1,20," All right.  Now let's talk about variables.  We use variables to temporarily store data in a computer's memory.  For example, we can store the price of a product or someone's name, their email, their  age, and so on.",329.0,347.08000000000004
lecture1,21," Let me show you.  So to declare a variable, we start by typing a name for that variable.  Let's say age, then yet, and equals sign, and then we type a value.  Let's say 20.  So with this, we're storing the number 20 somewhere in our computer's memory and we",347.08000000000004,363.84
lecture1,22," are attaching this age as a label for that memory location.  So now we can read the value at this memory location and print it on the terminal.  So instead of printing a little world, we want to print the value of the age variable.  So I'm going to delete what we have inside parentheses and type age.  Note that I'm not adding quotes because if I run this program, we'll see the text age",363.84,388.84
lecture1,23," on the terminal.  We don't want that.  We want the value of the age variable.  So let's remove the quotes and print the value of the age variable.  Now here on the tool more, you can click on this play icon to run your program or you",388.84,403.72
lecture1,24," can use the shortcut that I showed you in the last video.  So the shortcut is over here on the Mac, that's control, shift, and R.  So there you go.  Now you can see the value of the age variable.  We can also change the value of a variable.",403.72,420.8
lecture1,25," For example, on line 2, we can set age to 30.  Now when we run our program, we see 30.  So as you can see, our program gets executed from top to bottom.  So this is how we can declare and use a variable.  Now let's look at a few more examples.",420.8,438.12
lecture1,26," So I'm going to declare another variable called price and set it to 19.95.  So in Python, we can use numbers with a decimal point or whole numbers.  We can also declare a variable and assign it a string value.  So let's say first, underline name.  So if you want to use multiple words in the name of a variable, we should separate them",438.12,462.84
lecture1,27, using an underscore.  This makes our code more readable.  See what would happen if I didn't use this underline.  This is not easily readable.  So we always separate multiple words by an underscore.,462.84,476.36
lecture1,28," Now we set this to a string.  So we can use single quotes or double quotes.  Let's say march.  We also have a special type of value called a Boolean value, which can be true or false.  That is like yes or no in English.",476.36,490.68
lecture1,29, Let me show you.  So I'm going to declare another variable called is online and set it to true.  We could also set it to false.  What we have here is called a Boolean value.  Now note that Python is a case sensitive language.,490.68,506.96
lecture1,30," So it's sensitive to lowercase and uppercase letters.  In this case, if I use a lowercase f, we can see an error over here because this is not  recognized in Python.  So false with a capital F is a special keyword in Python that represents the Boolean false  value.",506.96,525.48
lecture1,31, So this is how we can declare and use variables in Python.  Now here's a little exercise for you.  Imagine we want to write a program for a hospital.  So we're going to check in a patient named John Smith.  He's 20 years old and is a new patient.,525.48,539.56
lecture1,32," I want you to declare a few variables to store these values.  Use the common box below to share your code with others.  In this tutorial, I'm going to show you how to receive input from the user.  So in Python, we have another built-in function called input.  We use this to read a value from the terminal window.",539.56,563.0400000000001
lecture1,33, Let me show you.  So we add parenthesis.  Then we type a string.  Here we can type a message like what is your name?  We had a question mark followed by a space.,563.0400000000001,574.44
lecture1,34, You will see why we need this space in a second.  So let's run this program.  We get this message.  Now we have to enter a value.  So we click over here.,574.44,584.5200000000001
lecture1,35," We can see that the carrot is separated from the question mark.  This is because of the white space that we added over here.  So now we have to type a value, let's say John.  When we press enter, this function will return the value that we entered in the terminal  window.",584.52,601.1999999999999
lecture1,36, So we can get that value and store it in a variable.  So let's declare a variable called name and set it to the return value of the input  function.  Now we can print a greeting message for this user.  So we use the print function.,601.1999999999999,616.84
lecture1,37," We say hello.  We have a space.  Now after this string, we want to add the value of the name variable.  So we use a plus sign and then type name.  What we are doing here is called string concatenation.",616.84,631.6
lecture1,38, So we are combining this string with another string.  Now let's run a program and see what happens.  So what is your name?  Marsh.  Now we get this message.,631.6,642.08
